K,Precision@K,Recall@K,F1@K
5,0.013333333333333334,0.0022988505747126436,0.00392156862745098
10,0.006666666666666667,0.0022988505747126436,0.003418803418803419
20,0.0033333333333333335,0.0022988505747126436,0.00272108843537415
30,0.0044444444444444444,0.004597701149425287,0.004519774011299434
