K,Content_Precision,Content_Recall,Cluster_Precision,Cluster_Recall,Hybrid_Precision,Hybrid_Recall
5,0.013333333333333334,0.0022988505747126436,0.013333333333333334,0.0022988505747126436,0.013333333333333334,0.0022988505747126436
10,0.006666666666666667,0.0022988505747126436,0.006666666666666667,0.0022988505747126436,0.006666666666666667,0.0022988505747126436
20,0.0033333333333333335,0.0022988505747126436,0.0033333333333333335,0.0022988505747126436,0.0033333333333333335,0.0022988505747126436
30,0.0044444444444444444,0.004597701149425287,0.0044444444444444444,0.004597701149425287,0.0044444444444444444,0.004597701149425287
